DM,counts
101.32756092341468, 0.9818110147539141
123.22122943794345, 1.6544655929721817
155.19711796841008, 3.2537447910800763
178.7115673642071, 5.994762923752675
231.63708505354882, 12.351616172992454
269.7853736154322, 14.930453879941435
322.3969734252469, 16.97995269737583
381.261601330787, 20.77824079288208
432.09311428878755, 24.030859331005743
515.9903167836019, 27.786631377407367
603.7914610515737, 26.208469422232234
708.793871883757, 22.771426962495777
814.8105360085056, 20.980684761797498
962.9666200898937, 15.993073544318055
1126.325534799841, 12.706385854262868
1301.083281149782, 9.265401509178961
1543.0714021459241, 6.097815069264557
1802.1190480549913, 4.341142020497804
2066.8931397503397, 2.286011938281338
2441.8903295284035, 1.2599954949881749
2844.1459711632133, 0.4234711116116685
3341.3067252292935, 0.2610091226489466
