b,tau
0.17187720537468998, 0.29801132855827595
1.445834745036021, 0.261868678782394
3.786175722104108, 0.11655187780538026
5.727661595310966, 0.03831380341873887
7.081781190160093, 0.015439252657284177
8.651702903091001, 0.005045864119977034
10.070669038518872, 0.0015441124128968333
11.470653711691913, 0.0005706898301287013
13.215970653097743, 0.00016742673744082057
14.648460062063393, 0.0000617894536147399
16.456749837473453, 0.000015831524292374365
18.19025428090954, 0.000005067315527096832
19.40368295166383, 0.0000016716988453756684
