Pk,k,Pge_theory,Pk_err
2730.351224477091,0.1550800249616161,1542.4874238030989,2338.8374704660337
888.7715597675651,0.21614816155729358,951.8995611810294,704.937642413751
587.8020643125668,0.30126399422595895,616.8460970633123,467.5182967901089
347.63923503784423,0.4198971370520827,407.9650251207122,335.4870576517411
260.3594884780152,0.5852461929861221,249.31277448296822,111.06027302527337
149.4585492566079,0.8157071724979753,149.37155202115366,61.85520893295017
98.54239978435949,1.1369201529866593,93.5131615309516,32.06772218021331
55.85401425621524,1.584621881292109,54.06055620267075,12.914942879619385
27.916513195786038,2.2086216873483524,26.374690146691538,6.009564057956717
11.193287284176012,3.0783430516862036,10.517982295423586,1.7863220345780935
