k_ge,P_ge
0.07500000000000001,6220.923099258642
0.08499999999999999,6294.363368700678
0.095,2047.0876971494774
0.10500000000000001,2042.242701386136
0.11499999999999999,2670.1670437192174
0.125,3245.354278612316
0.135,1755.5652161469884
0.14500000000000002,2296.900374578312
0.155,1541.8253968656184
0.165,1624.5529513824724
0.175,1176.0205770191562
0.185,1436.9434224578397
0.195,1261.3721429161383
0.20500000000000002,1419.4085588377534
0.215,950.1551157577863
0.225,965.3484952274407
0.235,984.0314604589448
0.245,765.721286729053
0.255,952.1827280284643
0.265,688.884839501969
0.275,762.2488866464465
0.28500000000000003,704.8280552907414
0.295,646.8291147945417
0.305,598.9634612679545
0.315,626.5625603439204
0.325,499.15627631774606
0.335,536.33441726875
0.34500000000000003,523.0476706237275
0.355,510.9694313289012
0.365,466.19961952268085
0.375,458.8149246714781
0.385,475.39659210377897
0.395,436.2897927062175
0.405,410.00116466627793
0.41500000000000004,415.6243413667917
0.425,399.9839454280623
0.435,376.64547740753585
0.445,368.2829711752853
0.455,343.3810495747543
0.465,332.9830780454819
0.475,315.0472550271489
0.485,305.85144835156586
0.495,307.5272591001139
0.505,291.18307734629377
0.515,300.3762838533099
0.525,281.36858656410624
0.535,259.409990943282
0.545,259.77466467060646
0.555,254.67815051703266
0.5650000000000001,248.41543079044456
0.575,243.23733324699813
0.585,250.23760657439783
0.595,212.6722759775825
0.605,220.61698358162707
0.615,220.66755141402186
0.625,206.9169255838573
0.635,218.5961057198506
0.645,214.47646699858194
0.655,197.36651889331745
0.665,205.62108446006658
0.675,194.9867018841714
0.685,197.94873638756997
0.6950000000000001,190.04062068551826
0.7050000000000001,187.83064680641615
0.715,179.95380395938048
0.725,183.08248793242842
0.735,176.85848854208018
0.745,177.30718088543912
0.755,173.38169429353715
0.765,158.26572830724209
0.775,167.76513213377459
0.785,165.60230186812458
0.795,160.56803892567652
0.805,147.7113774726898
0.8150000000000001,149.22837894366086
0.8250000000000001,151.25296386322046
0.835,149.5526477175574
0.845,141.20071119605365
0.855,144.36454916677968
0.865,136.43327513607585
0.875,138.44454341078185
0.885,133.15501609943732
0.895,130.86748845189538
0.905,134.13181368189967
0.915,119.85391376251728
0.925,131.87279752473714
0.935,128.4447783725846
0.9450000000000001,124.51872038598577
0.9550000000000001,123.07690185410502
0.965,119.56649573919513
0.975,122.79306129982272
0.985,121.89197298391481
0.995,115.56674257301249
1.005,112.21505020610013
1.0150000000000001,109.82034386979419
1.025,107.39060649584633
1.0350000000000001,107.45720890580273
1.045,108.82326138103736
1.0550000000000002,107.072439817455
1.065,106.512607583992
1.0750000000000002,107.09662235010774
1.085,100.57102714059685
1.0950000000000002,100.08855665720225
1.105,99.08312436415504
1.1150000000000002,92.45590585887885
1.125,96.77550742153352
1.1350000000000002,93.65714285900889
1.145,92.9072998566146
1.155,89.14134822781524
1.165,91.22086779023299
1.1749999999999998,87.44083683622793
1.185,86.89113924365785
1.1949999999999998,87.9315562988462
1.205,84.0873298264214
1.2149999999999999,82.91853633192898
1.225,85.34974025425434
1.2349999999999999,80.64132310902261
1.245,83.21357067896574
1.255,79.78696539391746
1.2650000000000001,79.83365301187774
1.275,79.8794529710149
1.2850000000000001,76.66460243414225
1.295,75.61357598874717
1.3050000000000002,74.39500686481678
1.315,72.82545019450261
1.3250000000000002,75.25755719381279
1.335,72.42079495492123
1.3450000000000002,70.5962588348521
1.355,69.60743739201126
1.3650000000000002,71.12988131900657
1.375,70.42218918669838
1.3850000000000002,68.29519325852326
1.395,66.85230823805898
1.405,67.68050710719655
1.415,64.89098344616364
1.4249999999999998,65.95788530524288
1.435,63.63813056926597
1.4449999999999998,63.23596893127208
1.455,63.303242967283666
1.4649999999999999,60.76656171456569
1.475,60.88703386912727
1.4849999999999999,60.17700836321496
