ell,fid_ClDgs,fid_ClDgs_err,hostDM,hostDM_err
82.33035511751609,0.0035790297162833495,0.004334044626880025,0.003220341542151853,0.0053501064022303075
133.42923312926024,0.001469812286307799,0.0019029038939488796,0.0015598632746682474,0.0022852495203682516
216.24296686259208,0.0007355150522046567,0.000585521368187384,0.0007821502468949425,0.0007399545293702102
350.4555907342742,0.00035580022865798076,0.00022199140396373155,0.0003422593647235966,0.0002828143777380504
567.9681649713607,0.00020507399734362452,9.302283067452239e-05,0.0002062852597247621,0.00011198765904886915
920.481353272319,0.00011238923550203248,4.2288899243284835e-05,0.00011319773547955399,5.2758473846067166e-05
1491.7841773134646,4.8630181508363265e-05,1.7157876228178775e-05,4.847206724226117e-05,2.043465408128216e-05
2417.6698678049534,1.3591429158533572e-05,5.935204751402843e-06,1.3708271360569858e-05,7.498120535542766e-06
3918.2126198834167,3.301098720121351e-06,2.7990375568772505e-06,3.13312085745363e-06,3.522657843029353e-06
6350.077129658888,1.3829351608334472e-06,6.215393446573411e-06,2.676758430159037e-06,8.82200314030874e-06
