k,Pge,Pgg
0.04378615051693885,7220.0319312203865,3.412359562079779e-26
0.13135845155081655,2298.0791211500978,47698.40591162907
0.21893075258469424,956.1272573198448,20580.80186978795
0.30650305361857194,603.1117538415001,10481.405263301112
0.39407535465244964,439.9057847182716,8410.344611219136
0.4816476556863274,308.9341993734182,7018.615797366445
0.5692199567202051,246.23029603781015,4926.076305824096
0.6567922577540828,198.8459498076765,4093.5029740720297
0.7443645587879605,177.27866912478945,3315.8909373276906
0.8319368598218382,150.07347838769317,2784.133250237297
0.9195091608557159,125.27342178151733,2430.0144838821284
1.0070814618895936,111.71660120852121,2097.8088259923857
1.0946537629234714,100.10526157417044,1908.221176507559
1.182226063957349,87.04362184011671,1769.4973974216791
1.2697983649912268,79.85562950393007,1467.1541949622194
1.3573706660251044,69.96835800129668,1271.2301315455281
1.4449429670589822,63.23826257737001,1117.0061348550746
1.5325152680928598,56.909975220853525,969.0075983924274
1.6200875691267376,51.87589983438592,900.8511851806974
1.7076598701606152,46.70488565956238,827.8846536990268
1.795232171194493,41.80258992212583,768.3269579457478
1.8828044722283706,37.21453082092909,683.1867651459688
1.9703767732622484,34.710824086580146,623.5209337002806
2.057949074296126,31.39575294208261,589.0441994065936
2.1455213753300035,29.540447361951593,541.6753955280545
2.2330936763638816,25.718025655108836,489.57885034338386
2.320665977397759,23.509190356730308,465.64504501861944
2.4082382784316367,21.42366643404252,419.77619682217386
2.4958105794655143,19.580051502127873,384.38511454567674
2.5833828804993924,17.916394042853835,349.27077976553437
2.67095518153327,16.17190545722907,324.78308241111637
2.7585274825671475,14.986175635754899,298.2422419384454
2.8460997836010256,13.357998039090079,285.73715915367774
2.933672084634903,12.351662334151062,258.6387446284671
3.0212443856687807,11.210877381335713,231.82036515002207
3.1088166867026583,10.28273145704579,231.6693119616335
3.1963889877365363,9.51225403507544,207.8418044131234
3.283961288770414,8.662421896812894,198.4319361028754
3.3715335898042915,7.896099325525017,186.45734413424046
3.459105890838169,7.258501964361934,170.4076981676014
3.546678191872047,6.703367696219191,159.0235538100964
3.6342504929059247,6.117561441668509,149.82702269113767
3.7218227939398023,5.637774189912272,142.1270474748782
3.80939509497368,5.2028755867106415,133.51840625977746
3.896967396007558,4.739087925392333,124.3838582134635
3.9845396970414355,4.341256392590757,119.95424957744767
4.0721119980753135,4.029575414374153,114.49895431179961
4.159684299109191,3.7176244146736854,105.6216237204365
4.247256600143069,3.454790427177042,100.79674133657336
4.334828901176946,3.184581219052245,94.51921598423401
4.422401202210824,2.954389528201495,91.69212280071135
4.5099735032447015,2.7108277661877827,88.68852043531218
4.597545804278579,2.537700872845995,82.30491042333584
4.6851181053124575,2.356758714670127,77.61320431785789
4.772690406346335,2.1828105819059704,79.03160163161124
4.860262707380213,2.0339686926119342,73.73832205539834
4.94783500841409,1.9111822648095942,68.7952738510128
5.035407309447968,1.7724212728778932,67.75300883856939
5.1229796104818455,1.6586313203686913,63.98221819134252
5.210551911515723,1.5663247355635532,63.70800764708206
5.298124212549601,1.452945982429642,61.04677886756397
5.385696513583479,1.3693515968087557,58.558234311874315
5.473268814617357,1.3100419814324187,56.79874269072989
5.560841115651234,1.2273652302929696,55.298898563776554
5.648413416685112,1.1573680371516337,53.324682142911435
5.7359857177189895,1.0904812150364682,52.41273767743684
5.823558018752867,1.041734160363988,52.05244342618612
5.911130319786745,0.9964166242872011,50.81871262801058
5.998702620820622,0.9462390076241322,48.39500874416017
6.086274921854501,0.9120705433335058,47.116220047185095
6.173847222888378,0.868195105461756,47.050575209761526
6.261419523922256,0.839587408163847,46.56559153391297
6.3489918249561335,0.7990568020857793,44.243863848792415
6.436564125990011,0.7637847514647479,43.58160629465473
6.524136427023889,0.7212238331707528,43.307216407587255
6.611708728057766,0.6855509948837595,42.03779958771948
6.699281029091645,0.6510382052800892,41.88497439974033
6.786853330125522,0.6213453108877579,41.17249973271151
6.8744256311594,0.5867081550297203,41.43261179536759
6.9619979321932774,0.5681055433000402,39.49454299669491
7.049570233227155,0.541324438854373,38.61750579851967
7.137142534261033,0.5138564975320298,37.85002014927286
7.22471483529491,0.4912015691356012,36.15897301517375
7.312287136328788,0.4840562749921639,35.8423450797244
7.399859437362666,0.45532259800876274,35.96456455646188
7.487431738396544,0.4395363332950547,33.1824100276971
7.575004039430421,0.42142448238272673,34.794780633698146
7.662576340464299,0.4064665667195689,32.980153296348355
7.750148641498177,0.3914594341359586,34.104968921885025
7.837720942532054,0.3783509487187468,32.61646798659097
7.925293243565932,0.36569797267156207,33.37712398564414
8.01286554459981,0.3515614358536009,31.472625613540657
8.100437845633687,0.3427643522576975,31.515227220741455
8.188010146667565,0.335933680967582,31.831936333036513
8.275582447701442,0.3198260926114017,30.86105562943979
8.36315474873532,0.3147977610424327,30.253832266140975
8.450727049769199,0.3049826745737603,30.1278104124541
8.538299350803076,0.2957611646376757,30.472800189579942
8.625871651836954,0.2833585603177226,29.70221777544073
8.713443952870831,0.27499930807102985,30.8028678117826
8.80101625390471,0.27098277627496964,28.651150772827474
8.888588554938586,0.2549384687019827,28.811740533451076
8.976160855972465,0.2462219142829967,28.446989486950404
9.063733157006343,0.24532761810064493,30.522398624050172
9.15130545804022,0.2332303190006978,30.39924243927182
9.238877759074098,0.2212901343642136,29.0363177821134
9.326450060107975,0.22409134542877124,29.173320205939223
9.414022361141853,0.21240534653328624,26.025611599137353
9.50159466217573,0.20367723046831915,30.41871770542976
9.589166963209609,0.20409381172513147,30.41524253718846
