ell,mean_midslice_ClDg,mean_DeltaC,mean_midslice_ClDg_err
82.33035511751609,0.0033171240597832078,0.0029507130054622975,0.0025201924542929883
133.42923312926015,0.0013843627881614086,0.0008992108229845602,0.0012315500244148424
216.2429668625919,0.0007229062426054226,0.00028456268396939824,0.0002981219167113633
350.4555907342741,0.00038256869614673055,9.162377046756436e-05,0.00011061476134413733
567.9681649713604,0.00020956790305738115,3.0277297435958162e-05,5.3153895289501434e-05
920.4813532723181,0.00011432038207078455,9.543312760533162e-06,1.9904120927632848e-05
1491.7841773134642,4.8014070481865195e-05,2.829732711974734e-06,8.910665705682032e-06
2417.6698678049497,1.3725492435898446e-05,8.401641154928011e-07,2.481704848874928e-06
3918.212619883411,3.1088915206611886e-06,3.30341040448279e-07,1.1463238384937065e-06
6350.077129658882,9.178350112033645e-07,1.7142057023371085e-07,2.3065288875671497e-07
