ell,fid_ClDgs,fid_ClDgs_err,pixels
82.33035511751609,0.0035790297162833495,0.004334044626880025,0.0029069175811768065
133.42923312926015,0.001469812286307799,0.0019029038939488796,0.001139834481613125
216.2429668625919,0.0007355150522046567,0.0005855213681873838,0.0007284698789548538
350.4555907342741,0.00035580022865798076,0.00022199140396373158,0.0003666354831719168
567.9681649713604,0.00020507399734362452,9.302283067452236e-05,0.00020296685963660401
920.4813532723181,0.00011238923550203248,4.2288899243284835e-05,0.00011147678420623486
1491.7841773134642,4.8630181508363265e-05,1.715787622817878e-05,4.830287326719224e-05
2417.6698678049497,1.3591429158533572e-05,5.935204751402844e-06,1.3672310814398037e-05
3918.212619883411,3.301098720121351e-06,2.7990375568772505e-06,3.0798672658289527e-06
6350.077129658882,1.3829351608334472e-06,6.215393446573411e-06,5.7406927909102e-07
