ell,fid_ClDgs,fid_ClDgs_err,DM_sfunc,DM_sfunc_err
82.33035511751609,0.003424511815709229,0.004334044626880025,0.0035875931295689424,0.004717441797586667
133.42923312926024,0.0016666405842338688,0.0019029038939488796,0.001540783507714118,0.002105033501422194
216.24296686259208,0.0007200080432441698,0.000585521368187384,0.0007293944184623184,0.0006653902024186695
350.4555907342742,0.0003654875990890682,0.00022199140396373155,0.0003779612718323597,0.00024332894813602904
567.9681649713607,0.00020616919198942867,9.302283067452239e-05,0.0002248294391171114,0.00010039506967323054
920.481353272319,0.00011522730574479743,4.2288899243284835e-05,0.0001186142478169179,4.802651753157139e-05
1491.7841773134646,4.84356453178464e-05,1.7157876228178775e-05,4.741296026695441e-05,2.0318484427255025e-05
2417.6698678049534,1.3895768530719356e-05,5.935204751402843e-06,1.2867105610843432e-05,7.444491986349561e-06
3918.2126198834167,3.420198037645697e-06,2.7990375568772505e-06,3.113337074299935e-06,3.303806807044472e-06
6350.077129658888,1.3598581911622862e-06,6.215393446573411e-06,8.507949931764775e-07,9.82893230454114e-06
