ell,fid_ClDgs,fid_ClDgs_err,DM_sfunc,DM_sfunc_err,DM_cutoff,DM_cutoff_err
82.33035511751609,0.003424511815709229,0.004334044626880025,0.002900433510569604,0.004397530456572857,0.0019411103902528398,0.003867554212486473
133.42923312926024,0.0016666405842338688,0.0019029038939488796,0.0014043700525082207,0.0018950201873822689,0.0010102034999047152,0.0016947489488535565
216.24296686259208,0.0007200080432441698,0.000585521368187384,0.0005405042052590253,0.000623103345197317,0.0002755978872595503,0.0005423789126619252
350.4555907342742,0.0003654875990890682,0.00022199140396373155,0.0002987628897377178,0.00023029022186233007,0.00014796453072897376,0.00023046043343085665
567.9681649713607,0.00020616919198942867,9.302283067452239e-05,0.0001750994230980245,9.510645718863147e-05,4.538475585422453e-05,8.881524076149975e-05
920.481353272319,0.00011522730574479743,4.2288899243284835e-05,8.97263727487207e-05,4.728548372139739e-05,1.3940663320309326e-05,3.902676395640519e-05
1491.7841773134646,4.84356453178464e-05,1.7157876228178775e-05,3.457506238055708e-05,1.8855182170849797e-05,3.1565203967012917e-06,1.6049547578319986e-05
2417.6698678049534,1.3895768530719356e-05,5.935204751402843e-06,1.0379219424686539e-05,7.276062952619192e-06,3.9590691242084324e-08,5.551538644257339e-06
3918.2126198834167,3.420198037645697e-06,2.7990375568772505e-06,2.0279928505376775e-06,3.0647363728075573e-06,4.786313836699431e-09,2.5940252321354754e-06
6350.077129658888,1.3598581911622862e-06,6.215393446573411e-06,1.0020069543441338e-07,9.765597485134255e-06,-1.5391789524896935e-07,8.099724488294669e-06
