Hscatter,scatterbins
23635004,0.0
94754,0.010101010101010102
56004,0.020202020202020204
40325,0.030303030303030304
31613,0.04040404040404041
26031,0.05050505050505051
21759,0.06060606060606061
19456,0.07070707070707072
17303,0.08080808080808081
15448,0.09090909090909091
13911,0.10101010101010102
13063,0.11111111111111112
11829,0.12121212121212122
11168,0.13131313131313133
10509,0.14141414141414144
9927,0.15151515151515152
9426,0.16161616161616163
8896,0.17171717171717174
8318,0.18181818181818182
8061,0.19191919191919193
7869,0.20202020202020204
7386,0.21212121212121213
7104,0.22222222222222224
6895,0.23232323232323235
6665,0.24242424242424243
6356,0.25252525252525254
6070,0.26262626262626265
5931,0.27272727272727276
5882,0.2828282828282829
5775,0.29292929292929293
5714,0.30303030303030304
5509,0.31313131313131315
5303,0.32323232323232326
5209,0.33333333333333337
5045,0.3434343434343435
5189,0.3535353535353536
4825,0.36363636363636365
4850,0.37373737373737376
4728,0.38383838383838387
4562,0.393939393939394
4594,0.4040404040404041
4428,0.4141414141414142
4433,0.42424242424242425
4388,0.43434343434343436
4395,0.4444444444444445
4225,0.4545454545454546
4254,0.4646464646464647
4218,0.4747474747474748
4181,0.48484848484848486
4134,0.494949494949495
4195,0.5050505050505051
4117,0.5151515151515152
4051,0.5252525252525253
4039,0.5353535353535354
3999,0.5454545454545455
3926,0.5555555555555556
3962,0.5656565656565657
3935,0.5757575757575758
3962,0.5858585858585859
3951,0.595959595959596
3873,0.6060606060606061
3997,0.6161616161616162
3996,0.6262626262626263
3867,0.6363636363636365
3944,0.6464646464646465
3959,0.6565656565656566
3935,0.6666666666666667
3919,0.6767676767676768
3931,0.686868686868687
4061,0.696969696969697
4069,0.7070707070707072
4219,0.7171717171717172
4193,0.7272727272727273
4082,0.7373737373737375
4188,0.7474747474747475
4184,0.7575757575757577
4310,0.7676767676767677
4451,0.7777777777777778
4543,0.787878787878788
4403,0.797979797979798
4702,0.8080808080808082
4755,0.8181818181818182
4737,0.8282828282828284
4974,0.8383838383838385
5164,0.8484848484848485
5300,0.8585858585858587
5540,0.8686868686868687
5816,0.8787878787878789
6025,0.888888888888889
6378,0.8989898989898991
6947,0.9090909090909092
7309,0.9191919191919192
8368,0.9292929292929294
8993,0.9393939393939394
10325,0.9494949494949496
12452,0.9595959595959597
15826,0.9696969696969697
23496,0.9797979797979799
3543547,0.98989898989899
0,1.0
