DMs_,smooth_sfunc,cutoff_func
10.0,0.32353347275493666,1.0
10.006910833004609,0.32370188469618744,1.0
10.0138264419705,0.32387034543028226,1.0
10.02074683019826,0.324038854942165,1.0
10.027672000990757,0.3242074132167535,1.0
10.034601957653145,0.32437602023894085,1.0
10.041536703492852,0.324544675993594,1.0
10.0484762418196,0.3247133804655551,1.0
10.0554205759454,0.3248821336396405,1.0
10.062369709184546,0.3250509355006414,1.0
10.069323644853627,0.32521978603332324,1.0
10.076282386271522,0.32538868522242637,1.0
10.083245936759402,0.3255576330526654,1.0
10.090214299640742,0.3257266295087297,1.0
10.097187478241295,0.3258956745752829,1.0
10.10416547588913,0.3260647682369634,1.0
10.111148295914612,0.32623391047838407,1.0
10.118135941650403,0.32640310128413236,1.0
10.12512841643147,0.32657234063877005,1.0
10.132125723595088,0.3267416285268336,1.0
10.139127866480836,0.32691096493283395,1.0
10.146134848430602,0.3270803498412565,1.0
10.153146672788578,0.327249783236561,1.0
10.160163342901273,0.327419265103182,1.0
10.167184862117507,0.3275887954255282,1.0
10.174211233788414,0.3277583741879831,1.0
10.181242461267447,0.3279280013749044,1.0
10.188278547910373,0.3280976769706244,1.0
10.195319497075278,0.32826740095944984,1.0
10.20236531212257,0.32843717332566186,1.0
10.209415996414984,0.32860699405351623,1.0
10.216471553317565,0.32877686312724275,1.0
10.223531986197697,0.32894678053104603,1.0
10.230597298425085,0.329116746249105,1.0
10.237667493371768,0.32928676026557296,1.0
10.244742574412108,0.32945682256457776,1.0
10.251822544922806,0.3296269331302216,1.0
10.25890740828289,0.32979709194658097,1.0
10.265997167873735,0.329967298997707,1.0
10.27309182707903,0.3301375542676248,1.0
10.280191389284827,0.33030785774033433,1.0
10.287295857879503,0.3304782093998097,1.0
10.294405236253784,0.33064860922999945,1.0
10.301519527800737,0.33081905721482646,1.0
10.308638735915771,0.330989553338188,1.0
10.315762863996648,0.33116009758395587,1.0
10.322891915443476,0.331330689935976,1.0
10.330025893658702,0.33150133037806845,1.0
10.337164802047138,0.33167201889402814,1.0
10.344308644015944,0.33184275546762415,1.0
10.351457422974637,0.3320135400825997,1.0
10.358611142335088,0.3321843727226726,1.0
10.365769805511523,0.33235525337153476,1.0
10.372933415920533,0.33252618201285267,1.0
10.380101976981068,0.33269715863026683,1.0
10.387275492114448,0.3328681832073924,1.0
10.394453964744335,0.3330392557278184,1.0
10.401637398296778,0.3332103761751085,1.0
10.40882579620019,0.33338154453280056,1.0
10.416019161885352,0.3335527607844067,1.0
10.42321749878541,0.3337240249134133,1.0
10.430420810335894,0.3338953369032811,1.0
10.437629099974696,0.33406669673744516,1.0
10.4448423711421,0.3342381043993146,1.0
10.452060627280742,0.33440955987227294,1.0
10.45928387183566,0.33458106313967795,1.0
10.466512108254266,0.3347526141848616,1.0
10.473745339986353,0.33492421299113007,1.0
10.480983570484097,0.3350958595417639,1.0
10.488226803202064,0.3352675538200178,1.0
10.495475041597203,0.33543929580912085,1.0
10.50272828912886,0.33561108549227614,1.0
10.509986549258755,0.3357829228526609,1.0
10.517249825451017,0.335954807873427,1.0
10.524518121172163,0.3361267405377001,1.0
10.531791439891101,0.3362987208285801,1.0
10.539069785079148,0.33647074872914146,1.0
10.546353160210009,0.33664282422243247,1.0
10.553641568759792,0.3368149472914757,1.0
10.560935014207011,0.33698711791926805,1.0
10.568233500032589,0.33715933608878057,1.0
10.575537029719833,0.337331601782958,1.0
10.582845606754478,0.3375039149847199,1.0
10.590159234624663,0.33767627567695974,1.0
10.597477916820933,0.3378486838425451,1.0
10.604801656836251,0.3380211394643178,1.0
10.612130458165991,0.3381936425250937,1.0
10.619464324307941,0.3383661930076629,1.0
10.626803258762317,0.3385387908947898,1.0
10.63414726503173,0.33871143616921234,1.0
10.641496346621237,0.3388841288136432,1.0
10.648850507038302,0.33905686881076913,1.0
10.65620974979282,0.3392296561432506,1.0
10.663574078397112,0.33940249079372253,1.0
10.670943496365918,0.3395753727447939,1.0
10.678318007216419,0.33974830197904765,1.0
10.685697614468223,0.3399212784790412,1.0
10.693082321643356,0.34009430222730536,1.0
10.700472132266299,0.3402673732063457,1.0
10.707867049863955,0.3404404913986416,1.0
10.71526707796567,0.34061365678664657,1.0
10.722672220103231,0.3407868693527882,1.0
10.73008247981086,0.34096012907946804,1.0
10.737497860625226,0.34113343594906176,1.0
10.74491836608544,0.34130678994391933,1.0
10.752343999733062,0.34148019104636457,1.0
10.759774765112088,0.3416536392386951,1.0
10.767210665768978,0.3418271345031829,1.0
10.774651705252635,0.34200067682207413,1.0
10.782097887114418,0.3421742661775886,1.0
10.789549214908137,0.3423479025519205,1.0
10.797005692190062,0.3425215859272378,1.0
10.804467322518915,0.34269531628568256,1.0
10.811934109455889,0.3428690936093712,1.0
10.819406056564617,0.3430429178803933,1.0
10.826883167411214,0.3432167890808134,1.0
10.834365445564254,0.34339070719266945,1.0
10.841852894594775,0.34356467219797376,1.0
10.849345518076282,0.34373868407871233,1.0
10.856843319584755,0.34391274281684536,1.0
10.86434630269864,0.3440868483943069,1.0
10.871854470998866,0.3442610007930053,1.0
10.879367828068814,0.3444351999948223,1.0
10.886886377494363,0.3446094459816141,1.0
10.894410122863865,0.3447837387352107,1.0
10.901939067768149,0.3449580782374161,1.0
10.909473215800526,0.3451324644700083,1.0
10.91701257055679,0.3453068974147392,1.0
10.924557135635224,0.34548137705333465,1.0
10.932106914636599,0.3456559033674945,1.0
10.939661911164157,0.3458304763388923,1.0
10.94722212882365,0.34600509594917606,1.0
10.954787571223317,0.34617976217996704,1.0
10.962358241973886,0.3463544750128612,1.0
10.969934144688583,0.3465292344294277,1.0
10.977515282983134,0.34670404041121,1.0
10.985101660475758,0.3468788929397256,1.0
10.992693280787178,0.3470537919964655,1.0
11.000290147540625,0.3472287375628952,1.0
11.007892264361814,0.34740372962045335,1.0
11.015499634878987,0.34757876815055305,1.0
11.023112262722885,0.3477538531345811,1.0
11.03073015152676,0.34792898455389837,1.0
11.03835330492637,0.3481041623898394,1.0
11.045981726559992,0.34827938662371266,1.0
11.053615420068413,0.3484546572368006,1.0
11.061254389094945,0.3486299742103596,1.0
11.068898637285399,0.3488053375256195,1.0
11.076548168288122,0.34898074716378447,1.0
11.084202985753976,0.34915620310603235,1.0
11.091863093336348,0.3493317053335148,1.0
11.099528494691153,0.3495072538273576,1.0
11.107199193476823,0.34968284856866,1.0
11.114875193354328,0.34985848953849524,1.0
11.122556497987162,0.35003417671791065,1.0
11.13024311104136,0.3502099100879271,1.0
11.137935036185471,0.35038568962953914,1.0
11.145632277090597,0.3505615153237157,1.0
11.153334837430371,0.35073738715139907,1.0
11.16104272088097,0.35091330509350555,1.0
11.168755931121101,0.35108926913092525,1.0
11.176474471832021,0.351265279244522,1.0
11.184198346697533,0.35144133541513356,1.0
11.191927559403984,0.3516174376235716,1.0
11.199662113640256,0.3517935858506212,1.0
11.207402013097797,0.3519697800770416,1.0
11.215147261470602,0.3521460202835656,1.0
11.222897862455213,0.3523223064509,1.0
11.230653819750733,0.35249863855972535,1.0
11.238415137058821,0.35267501659069583,1.0
11.24618181808369,0.35285144052443956,1.0
11.25395386653212,0.35302791034155845,1.0
11.261731286113438,0.3532044260226278,1.0
11.26951408053955,0.3533809875481973,1.0
11.277302253524919,0.3535575948987899,1.0
11.28509580878658,0.35373424805490256,1.0
11.292894750044134,0.35391094699700587,1.0
11.30069908101975,0.3540876917055443,1.0
11.308508805438178,0.3542644821609361,1.0
11.316323927026737,0.3544413183435732,1.0
11.32414444951531,0.3546182002338209,1.0
11.331970376636379,0.3547951278120189,1.0
11.33980171212499,0.3549721010584801,1.0
11.347638459718777,0.35514911995349147,1.0
11.355480623157957,0.35532618447731373,1.0
11.363328206185328,0.3555032946101808,1.0
11.37118121254628,0.35568045033230106,1.0
11.379039645988785,0.3558576516238561,1.0
11.386903510263416,0.35603489846500147,1.0
11.39477280912332,0.3562121908358661,1.0
11.40264754632425,0.35638952871655305,1.0
11.410527725624556,0.3565669120871387,1.0
11.418413350785181,0.35674434092767365,1.0
11.426304425569668,0.35692181521818134,1.0
11.434200953744162,0.35709933493865986,1.0
11.442102939077408,0.3572769000690804,1.0
11.450010385340766,0.3574545105893882,1.0
11.457923296308179,0.3576321664795015,1.0
11.465841675756218,0.35780986771931306,1.0
11.473765527464062,0.3579876142886887,1.0
11.481694855213497,0.3581654061674683,1.0
11.489629662788923,0.3583432433354653,1.0
11.497569953977356,0.35852112577246664,1.0
11.505515732568432,0.358699053458233,1.0
11.5134670023544,0.358877026372499,1.0
11.52142376713014,0.35905504449497255,1.0
11.529386030693137,0.3592331078053353,1.0
11.537353796843517,0.35941121628324246,1.0
11.545327069384024,0.359589369908323,1.0
11.553305852120035,0.3597675686601798,1.0
11.561290148859552,0.35994581251838903,1.0
11.569279963413212,0.36012410146250035,1.0
11.577275299594284,0.36030243547203755,1.0
11.585276161218678,0.3604808145264979,1.0
11.593282552104924,0.3606592386053517,1.0
11.601294476074209,0.3608377076880437,1.0
11.609311936950352,0.3610162217539917,1.0
11.61733493855982,0.3611947807825875,1.0
11.62536348473172,0.3613733847531962,1.0
11.633397579297805,0.3615520336451568,1.0
11.64143722609248,0.36173072743778173,1.0
11.649482428952803,0.36190946611035707,1.0
11.657533191718464,0.36208824964214226,1.0
11.66558951823183,0.36226707801237074,1.0
11.673651412337911,0.36244595120024925,1.0
11.68171887788438,0.36262486918495834,1.0
11.689791918721564,0.36280383194565213,1.0
11.697870538702457,0.3629828394614579,1.0
11.705954741682707,0.3631618917114769,1.0
11.71404453152064,0.36334098867478437,1.0
11.72213991207723,0.363520130330428,1.0
11.730240887216134,0.36369931665743016,1.0
11.738347460803672,0.36387854763478616,1.0
11.74645963670884,0.364057823241465,1.0
11.754577418803308,0.36423714345640945,1.0
11.762700810961418,0.3644165082585356,1.0
11.770829817060191,0.36459591762673316,1.0
11.77896444097933,0.3647753715398654,1.0
