ell,fid_ClDgs,fid_ClDgs_err,hostmag_res,hostmag_res_err
82.33035511751609,0.003424511815709229,0.004334044626880025,0.002907313165385405,0.004559487471122808
133.42923312926024,0.0016666405842338688,0.0019029038939488796,0.001539874121596914,0.0021519754409222024
216.24296686259208,0.0007200080432441698,0.000585521368187384,0.0006459889297070482,0.0005869648373041706
350.4555907342742,0.0003654875990890682,0.00022199140396373155,0.00036692879132934296,0.00021496868226230384
567.9681649713607,0.00020616919198942867,9.302283067452239e-05,0.0002061151072025398,0.00010295732400937986
920.481353272319,0.00011522730574479743,4.2288899243284835e-05,0.00011217676517920809,4.597647640163448e-05
1491.7841773134646,4.84356453178464e-05,1.7157876228178775e-05,4.4850590502125746e-05,1.795575920107871e-05
2417.6698678049534,1.3895768530719356e-05,5.935204751402843e-06,1.4095081582164198e-05,6.532880911960406e-06
3918.2126198834167,3.420198037645697e-06,2.7990375568772505e-06,3.5595030989413183e-06,2.9572178193475226e-06
6350.077129658888,1.3598581911622862e-06,6.215393446573411e-06,1.6537985291202008e-07,6.779582224250779e-06
