ell,fid_ClDgs,fid_ClDgs_err,scatter_ClDgs,scatter_ClDgs_err
82.33035511751609,0.003424511815709229,0.004334044626880025,0.003052378149494912,0.004636786621281297
133.42923312926024,0.0016666405842338688,0.0019029038939488796,0.0017086303401393308,0.0019663977743328825
216.24296686259208,0.0007200080432441698,0.000585521368187384,0.0006561358981146831,0.0006411363447447538
350.4555907342742,0.0003654875990890682,0.00022199140396373155,0.0003779944973378416,0.00025735496090905133
567.9681649713607,0.00020616919198942867,9.302283067452239e-05,0.0002051045877035883,0.00011042030513064544
920.481353272319,0.00011522730574479743,4.2288899243284835e-05,0.00011469058846188176,5.049634993414483e-05
1491.7841773134646,4.84356453178464e-05,1.7157876228178775e-05,5.131515249938387e-05,2.2862269398796554e-05
2417.6698678049534,1.3895768530719356e-05,5.935204751402843e-06,1.2944690978254364e-05,7.469790476412008e-06
3918.2126198834167,3.420198037645697e-06,2.7990375568772505e-06,2.894843346380887e-06,3.3575052732719704e-06
6350.077129658888,1.3598581911622862e-06,6.215393446573411e-06,-7.788630836156351e-07,8.866545831643646e-06
